Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
O14773	Tripeptidyl-peptidase 1	TPP1	O14773;A0A2R8YD45;A0A2R8Y7U1;A0A2R8YGD1;A0A2R8YD72;A0A2R8YE64;E7EV34	Tripeptidyl-peptidase 1	TPP1
O14773-2	Tripeptidyl-peptidase 1	TPP1	O14773-2;A0A2R8Y7I4;A0A2R8YDY1	Tripeptidyl-peptidase 1	TPP1
O14776-2	Transcription elongation regulator 1	TCERG1	O14776-2;O14776;G3V220;Q5VWI1	Transcription elongation regulator 1	TCERG1
O14786	Neuropilin-1	NRP1	O14786;E9PEP6;E7EX60;Q5T7F0;O14786-3;O14786-2;Q5JWQ4;Q5JWQ6;H0Y4A0;V9GYL7;Q5JWQ2	Neuropilin-1	NRP1
O14787-2	Transportin-2	TNPO2	O14787-2;O14787;A0A075B780;K7ESC1;K7ESG1	Transportin-2	TNPO2
O14791	Apolipoprotein L1	APOL1	O14791;O14791-2;O14791-3;B1AH96;B1AH94;F8WCH3	Apolipoprotein L1	APOL1
O14802	DNA-directed RNA polymerase III subunit RPC1	POLR3A	O14802	DNA-directed RNA polymerase III subunit RPC1	POLR3A
O14818	Proteasome subunit alpha type-7	PSMA7	O14818;O14818-4;H0Y586;F5GY34	Proteasome subunit alpha type-7	PSMA7
O14828	Secretory carrier-associated membrane protein 3	SCAMP3	O14828;O14828-2	Secretory carrier-associated membrane protein 3	SCAMP3
O14832	Phytanoyl-CoA dioxygenase, peroxisomal	PHYH	O14832;B1ALH6;O14832-2;C9IYS5;C9JR86	Phytanoyl-CoA dioxygenase, peroxisomal	PHYH
O14841	5-oxoprolinase	OPLAH	O14841;A0A087WY99	5-oxoprolinase	OPLAH
O14874	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	BCKDK	O14874;O14874-3;O14874-2;H3BTL2;H3BS02;H3BNP3;H3BQP2;H3BUV3	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	BCKDK
O14879	Interferon-induced protein with tetratricopeptide repeats 3	IFIT3	O14879	Interferon-induced protein with tetratricopeptide repeats 3	IFIT3
O14880	Microsomal glutathione S-transferase 3	MGST3	O14880;Q5VV89;Q5VV87	Microsomal glutathione S-transferase 3	MGST3
O14894	Transmembrane 4 L6 family member 5	TM4SF5	O14894	Transmembrane 4 L6 family member 5	TM4SF5
O14896	Interferon regulatory factor 6	IRF6	O14896;O14896-2;A0A2R8YHF3;B1AJU4	Interferon regulatory factor 6	IRF6
O14907	Tax1-binding protein 3	TAX1BP3	O14907;A0A087X282	Tax1-binding protein 3	TAX1BP3
O14908	PDZ domain-containing protein GIPC1	GIPC1	O14908;K7EM11;O14908-2;K7ESN1	PDZ domain-containing protein GIPC1	GIPC1
O14910	Protein lin-7 homolog A	LIN7A	O14910;H0YIA8;H0YI92;J3KN23;Q9HAP6;Q9HAP6-2	Protein lin-7 homolog A	LIN7A
O14920	Inhibitor of nuclear factor kappa-B kinase subunit beta	IKBKB	O14920;A0A499FJS7;O14920-2;O14920-4;G3V105;E5RGW5;O14920-3;J3KNS5;E5RJH2;E5RGA0;E5RIW0;E5RFT3;E5RFG5	Inhibitor of nuclear factor kappa-B kinase subunit beta	IKBKB
O14925	Mitochondrial import inner membrane translocase subunit Tim23	TIMM23	O14925;Q5SRD1;B4DDK6	Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B	TIMM23;TIMM23B
O14929	Histone acetyltransferase type B catalytic subunit	HAT1	O14929;O14929-2;F8WEW1;F8W9G7	Histone acetyltransferase type B catalytic subunit	HAT1
O14933	Ubiquitin/ISG15-conjugating enzyme E2 L6	UBE2L6	O14933;E9PQT7;O14933-2;E9PKW8	Ubiquitin/ISG15-conjugating enzyme E2 L6	UBE2L6
O14939-4	Phospholipase D2	PLD2	O14939-4;O14939;I3L222;I3L1F3;O14939-3	Phospholipase D2	PLD2
O14949	Cytochrome b-c1 complex subunit 8	UQCRQ	O14949	Cytochrome b-c1 complex subunit 8	UQCRQ
O14950	Myosin regulatory light chain 12B	MYL12B	O14950	Myosin regulatory light chain 12B	MYL12B
O14957	Cytochrome b-c1 complex subunit 10	UQCR11	O14957	Cytochrome b-c1 complex subunit 10	UQCR11
O14964	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	O14964;O14964-2;I3L1P5;I3L1E3;I3L165;I3L2H4	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS
O14966	Ras-related protein Rab-7L1	RAB29	O14966;O14966-2;O14966-3;E9PL56	Ras-related protein Rab-7L1	RAB29
O14967	Calmegin	CLGN	O14967;D6RAZ4;O14967-2	Calmegin	CLGN
O14972	Down syndrome critical region protein 3	DSCR3	O14972;A8MTY9;O14972-2;A8MY26	Down syndrome critical region protein 3	DSCR3
O14974	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A	O14974;O14974-5;O14974-3;O14974-2;H0YHI8;H0YIS4;A0A3B3ISH4;H0YHL8;F8VW28;H0YIS3;H0YIM2;A0A0U1RQZ1;H0YIL7	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A
O14974-4	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A	O14974-4;F8VZN8	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A
O14975	Very long-chain acyl-CoA synthetase	SLC27A2	O14975;O14975-2;G3V1R7	Very long-chain acyl-CoA synthetase	SLC27A2
O14976	Cyclin-G-associated kinase	GAK	O14976;O14976-2;A0A087X1U9;H0Y8H5;D6RAW3;D6RC24;D6RE78;D6RF16;D6RAQ7;H0Y9M4	Cyclin-G-associated kinase	GAK
O14980	Exportin-1	XPO1	O14980;C9JKM9;C9J673;C9IZS4;C9JQ02;C9JV99;F8WF71;C9IYM2;C9JF49;H7BZC5	Exportin-1	XPO1
O14983-2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	ATP2A1	O14983-2;O14983;O14983-3;H3BVB2;H3BTW4	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	ATP2A1
O15020	Spectrin beta chain, non-erythrocytic 2	SPTBN2	O15020;O15020-2;A4QPE4;E9PJZ2	Spectrin beta chain, non-erythrocytic 2	SPTBN2
O15031	Plexin-B2	PLXNB2	O15031;A6QRG9;A0A087WU36;A6QRH1;H0Y6J7	Plexin-B2	PLXNB2
O15042-2	U2 snRNP-associated SURP motif-containing protein	U2SURP	O15042-2;O15042;E7ET15;O15042-3;H7C4V2	U2 snRNP-associated SURP motif-containing protein	U2SURP
O15056-3	Synaptojanin-2	SYNJ2	O15056-3;O15056-2;O15056;A0A1W2PR85;E7ER60;H7BY56	Synaptojanin-2	SYNJ2
O15061	Synemin	SYNM	O15061;A0A075B7B1;O15061-2;C9JIE4;O15061-3;H0YL34	Synemin	SYNM
O15066	Kinesin-like protein KIF3B	KIF3B	O15066;O15066-2	Kinesin-like protein KIF3B;Kinesin-like protein KIF3B, N-terminally processed	KIF3B
O15067	Phosphoribosylformylglycinamidine synthase	PFAS	O15067;H0YGH1;J3KT98;J3QSG0;J3QSH6;J3KTQ5	Phosphoribosylformylglycinamidine synthase	PFAS
O15068-5	Guanine nucleotide exchange factor DBS	MCF2L	O15068-5;O15068-4;O15068-3;O15068-2;O15068-6;O15068-8;O15068-10;O15068-9;O15068;H7BYP9;H7C2S1;H0Y7A3;A2A640;H3BLT1;H0Y4M6	Guanine nucleotide exchange factor DBS	MCF2L
O15083	ERC protein 2	ERC2	O15083;H7C4G9	ERC protein 2	ERC2
O15084	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANKRD28	O15084;O15084-4;O15084-1;O15084-2;B4DIW9	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANKRD28
O15085	Rho guanine nucleotide exchange factor 11	ARHGEF11	O15085;O15085-2	Rho guanine nucleotide exchange factor 11	ARHGEF11
O15091	Mitochondrial ribonuclease P protein 3	KIAA0391	O15091;O15091-2;O15091-4;O15091-3;A0A0A0MTQ0	Mitochondrial ribonuclease P protein 3	KIAA0391
O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha	CHUK	O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha	CHUK
O15116	U6 snRNA-associated Sm-like protein LSm1	LSM1	O15116	U6 snRNA-associated Sm-like protein LSm1	LSM1
O15117-2	FYN-binding protein	FYB	O15117-2;O15117-3;O15117;D6RFJ5;D6RAE8;D6RER7;D6RC38	FYN-binding protein	FYB
O15118	Niemann-Pick C1 protein	NPC1	O15118;K7EQ23;O15118-2	Niemann-Pick C1 protein	NPC1
O15120	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	AGPAT2	O15120;O15120-2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	AGPAT2
O15121	Sphingolipid delta(4)-desaturase DES1	DEGS1	O15121;E7EMA0	Sphingolipid delta(4)-desaturase DES1	DEGS1
O15127	Secretory carrier-associated membrane protein 2	SCAMP2	O15127;H3BV04;H3BN93;H3BUB6;H3BPL9	Secretory carrier-associated membrane protein 2	SCAMP2
O15143	Actin-related protein 2/3 complex subunit 1B	ARPC1B	O15143;C9JEY1;C9K057;C9J4Z7;F8VXW2;C9JQM8;C9JFG9;C9J6C8;C9JBJ7;C9JTT6;C9JM51;F8WEB3	Actin-related protein 2/3 complex subunit 1B	ARPC1B
O15144	Actin-related protein 2/3 complex subunit 2	ARPC2	O15144;H7C3F9;C9JTV5;G5E9J0;G5E9S7	Actin-related protein 2/3 complex subunit 2	ARPC2
O15145	Actin-related protein 2/3 complex subunit 3	ARPC3	O15145;C9JZD1;F8VR50	Actin-related protein 2/3 complex subunit 3	ARPC3
O15156	Zinc finger and BTB domain-containing protein 7B	ZBTB7B	O15156;O15156-2	Zinc finger and BTB domain-containing protein 7B	ZBTB7B
O15164-2	Transcription intermediary factor 1-alpha	TRIM24	O15164-2;O15164	Transcription intermediary factor 1-alpha	TRIM24
O15173	Membrane-associated progesterone receptor component 2	PGRMC2	O15173;O15173-2;U3KQM0;D3DNX8	Membrane-associated progesterone receptor component 2	PGRMC2
O15195-2	Villin-like protein	VILL	O15195-2;O15195	Villin-like protein	VILL
O15205	Ubiquitin D	UBD	O15205;A0A0G2JH67	Ubiquitin D	UBD
O15211	Ral guanine nucleotide dissociation stimulator-like 2	RGL2	O15211;O15211-2	Ral guanine nucleotide dissociation stimulator-like 2	RGL2
O15212	Prefoldin subunit 6	PFDN6	O15212;A2AB88	Prefoldin subunit 6	PFDN6
O15213	WD repeat-containing protein 46	WDR46	O15213;H0Y6G3	WD repeat-containing protein 46	WDR46
O15217	Glutathione S-transferase A4	GSTA4	O15217;O15217-2;Q5JW88	Glutathione S-transferase A4	GSTA4
O15226	NF-kappa-B-repressing factor	NKRF	O15226;O15226-2	NF-kappa-B-repressing factor	NKRF
O15228	Dihydroxyacetone phosphate acyltransferase	GNPAT	O15228;O15228-2;Q5TBH8;Q5TBH6;A0A2R8YH69	Dihydroxyacetone phosphate acyltransferase	GNPAT
O15229	Kynurenine 3-monooxygenase	KMO	O15229;O15229-2;O15229-3;H0Y320	Kynurenine 3-monooxygenase	KMO
O15230	Laminin subunit alpha-5	LAMA5	O15230;O15230-2;A0A087WYH7	Laminin subunit alpha-5	LAMA5
O15235	28S ribosomal protein S12, mitochondrial	MRPS12	O15235	28S ribosomal protein S12, mitochondrial	MRPS12
O15239	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	NDUFA1	O15239	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	NDUFA1
O15245	Solute carrier family 22 member 1	SLC22A1	O15245;O15245-4;O15245-3;O15245-2	Solute carrier family 22 member 1	SLC22A1
O15247	Chloride intracellular channel protein 2	CLIC2	O15247;A6PVS0	Chloride intracellular channel protein 2	CLIC2
O15254	Peroxisomal acyl-coenzyme A oxidase 3	ACOX3	O15254;O15254-2;D6RJ89	Peroxisomal acyl-coenzyme A oxidase 3	ACOX3
O15258	Protein RER1	RER1	O15258;Q5T092;A0A0A0MR06;Q5T091;Q5T093	Protein RER1	RER1
Q5T8U5	Surfeit locus protein 4	SURF4	Q5T8U5;O15260;O15260-2;B7Z1G8;O15260-3	Surfeit locus protein 4	SURF4
O15264	Mitogen-activated protein kinase 13	MAPK13	O15264;O15264-2;Q5R3E6	Mitogen-activated protein kinase 13	MAPK13
O15269	Serine palmitoyltransferase 1	SPTLC1	O15269;A0A2R8Y4S0;A0A2R8Y6A2;O15269-2;A0A2R8Y763	Serine palmitoyltransferase 1	SPTLC1
O15270	Serine palmitoyltransferase 2	SPTLC2	O15270;H0YJV2	Serine palmitoyltransferase 2	SPTLC2
O15294	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	OGT	O15294;O15294-3;O15294-2;O15294-4;C9JZL3	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	OGT
O15305	Phosphomannomutase 2	PMM2	O15305;H3BV55;H3BPH4;H3BRM0;O15305-2;H3BR08;H3BM92;H3BV34;H3BT06;H3BNY9	Phosphomannomutase 2;Phosphomannomutase	PMM2
O15344	E3 ubiquitin-protein ligase Midline-1	MID1	O15344;C9J453;A0A087X255;O15344-2;C9JZJ7;A0A087X0X0	E3 ubiquitin-protein ligase Midline-1	MID1
O15347	High mobility group protein B3	HMGB3	O15347;E9PES6;E7ES08;E7EQU1	High mobility group protein B3	HMGB3
O15355	Protein phosphatase 1G	PPM1G	O15355	Protein phosphatase 1G	PPM1G
O15357	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	INPPL1	O15357;A0A0A0MTP6;O15357-2;F5GY16;H7BXR2;D6RJB9;A0A0A0MSJ4;Q7Z7G1-3;Q7Z7G1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	INPPL1
O15371-2	Eukaryotic translation initiation factor 3 subunit D	EIF3D	O15371-2;O15371-3;O15371;B0QYA5;B0QYA4;B0QYA6;B0QYA8	Eukaryotic translation initiation factor 3 subunit D	EIF3D
O15379-2	Histone deacetylase 3	HDAC3	O15379-2;O15379;E7ESJ6	Histone deacetylase 3	HDAC3
O15381-3	Nuclear valosin-containing protein-like	NVL	O15381-3;O15381-4;O15381-2;O15381-5;O15381;C9JP83;C9J6P7;E7EWK7	Nuclear valosin-containing protein-like	NVL
O15382	Branched-chain-amino-acid aminotransferase, mitochondrial	BCAT2	O15382;B3KSI3;M0QXF9;M0QZ10;O15382-2;M0QZP4;M0R2K7	Branched-chain-amino-acid aminotransferase, mitochondrial;Branched-chain-amino-acid aminotransferase	BCAT2
O15389	Sialic acid-binding Ig-like lectin 5	SIGLEC5	O15389;Q08ET2	Sialic acid-binding Ig-like lectin 5;Sialic acid-binding Ig-like lectin 14	SIGLEC5;SIGLEC14
O15397	Importin-8	IPO8	O15397;O15397-2;F5H244;F5H2I3;H0YH64	Importin-8	IPO8
O15400-2	Syntaxin-7	STX7	O15400-2;O15400	Syntaxin-7	STX7
O15427	Monocarboxylate transporter 4	SLC16A3	O15427;J3QQS9;J3QQV2;J3QSC3;J3QRP8;J3QLE3;J3KTM6;J3QRU2;J3KT83;J3QRA0;J3KTI8	Monocarboxylate transporter 4	SLC16A3
O15431	High affinity copper uptake protein 1	SLC31A1	O15431	High affinity copper uptake protein 1	SLC31A1
O15438	Canalicular multispecific organic anion transporter 2	ABCC3	O15438;O15438-4;O15438-2;O15438-5;H0Y8Q6;H0Y9T4;O15438-3	Canalicular multispecific organic anion transporter 2	ABCC3
O15439-2	Multidrug resistance-associated protein 4	ABCC4	O15439-2;O15439;O15439-3;A0A2R8YDC1;A0A2R8Y6V8;O15439-4	Multidrug resistance-associated protein 4	ABCC4
O15455	Toll-like receptor 3	TLR3	O15455;D6RA51;O15455-2	Toll-like receptor 3	TLR3
O15460-2	Prolyl 4-hydroxylase subunit alpha-2	P4HA2	O15460-2;O15460;C9JX45;A8MXE0;E7ERI1;E7ENX0;E7EPI9;C9JCP0;C9JN43;C9JIG4;C9JFJ1	Prolyl 4-hydroxylase subunit alpha-2	P4HA2
O15488-3	Glycogenin-2	GYG2	O15488-3;O15488-2;O15488;A0A1W2PQ75;O15488-4;O15488-6;O15488-5;E5RIC9;J3QSZ3	Glycogenin-2	GYG2
O15498	Synaptobrevin homolog YKT6	YKT6	O15498;O15498-2;H7C3K7	Synaptobrevin homolog YKT6	YKT6
O15511	Actin-related protein 2/3 complex subunit 5	ARPC5	O15511;B1ALC0;O15511-2	Actin-related protein 2/3 complex subunit 5	ARPC5
O15516	Circadian locomoter output cycles protein kaput	CLOCK	O15516	Circadian locomoter output cycles protein kaput	CLOCK
O15523	ATP-dependent RNA helicase DDX3Y	DDX3Y	O15523;O15523-2;O15523-3;C9J081;C9J8G5	ATP-dependent RNA helicase DDX3Y	DDX3Y
O15541	RING finger protein 113A	RNF113A	O15541	RING finger protein 113A	RNF113A
O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15
O43148	mRNA cap guanine-N7 methyltransferase	RNMT	O43148;O43148-2;K7EP06;K7ERH6	mRNA cap guanine-N7 methyltransferase	RNMT
O43149	Zinc finger ZZ-type and EF-hand domain-containing protein 1	ZZEF1	O43149;O43149-3;I3L141;O43149-2;I3L3Q3;I3L1Q8	Zinc finger ZZ-type and EF-hand domain-containing protein 1	ZZEF1
O43156	TELO2-interacting protein 1 homolog	TTI1	O43156	TELO2-interacting protein 1 homolog	TTI1
O43157-2	Plexin-B1	PLXNB1	O43157-2;O43157;H7C0P4;O43157-3	Plexin-B1	PLXNB1
O43159	Ribosomal RNA-processing protein 8	RRP8	O43159;E9PPY3;E9PPP6	Ribosomal RNA-processing protein 8	RRP8
O43169	Cytochrome b5 type B	CYB5B	O43169	Cytochrome b5 type B	CYB5B
O43172-2	U4/U6 small nuclear ribonucleoprotein Prp4	PRPF4	O43172-2;O43172	U4/U6 small nuclear ribonucleoprotein Prp4	PRPF4
O43181	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUFS4	O43181;H0Y9M8;D6REP1;D6R916;D6RI09	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUFS4
O43237	Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2	O43237;O43237-2;J3KRI4;B4E2E0;J3KRZ2;J3KSD2;H3BUM4	Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2
O43242	26S proteasome non-ATPase regulatory subunit 3	PSMD3	O43242;O43242-2;H0YGV8;F5H8K4	26S proteasome non-ATPase regulatory subunit 3	PSMD3
O43252	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	O43252	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	PAPSS1
O43264	Centromere/kinetochore protein zw10 homolog	ZW10	O43264;O43264-2;F5H3C1	Centromere/kinetochore protein zw10 homolog	ZW10
O43278-2	Kunitz-type protease inhibitor 1	SPINT1	O43278-2;O43278;H3BVD9;H3BR01;H3BMB6;H3BNW5;H3BTQ8;H3BSM2	Kunitz-type protease inhibitor 1	SPINT1
O43286	Beta-1,4-galactosyltransferase 5	B4GALT5	O43286	Beta-1,4-galactosyltransferase 5	B4GALT5
O43290	U4/U6.U5 tri-snRNP-associated protein 1	SART1	O43290;E9PQI8	U4/U6.U5 tri-snRNP-associated protein 1	SART1
O43292	Glycosylphosphatidylinositol anchor attachment 1 protein	GPAA1	O43292;O43292-2;E9PPZ9;E9PLV6;E9PLG8;E9PQ31;E9PM11	Glycosylphosphatidylinositol anchor attachment 1 protein	GPAA1
O43293	Death-associated protein kinase 3	DAPK3	O43293;O43293-2;M0R0D0;M0QYW5;M0QYY8	Death-associated protein kinase 3	DAPK3
O43294	Transforming growth factor beta-1-induced transcript 1 protein	TGFB1I1	O43294;O43294-2;H3BQC4;H3BSN4;H3BS04;H3BN49;I3L209	Transforming growth factor beta-1-induced transcript 1 protein	TGFB1I1
O43299	AP-5 complex subunit zeta-1	AP5Z1	O43299;A0A3B3ISJ0;O43299-2;O43299-3;A0A3B3IS81;A0A3B3IRY2;A0A3B3ITJ1;A0A3B3IRY4	AP-5 complex subunit zeta-1	AP5Z1
O43310	CBP80/20-dependent translation initiation factor	CTIF	O43310;O43310-2;K7EPK6;K7EK08	CBP80/20-dependent translation initiation factor	CTIF
O43312-4	Metastasis suppressor protein 1	MTSS1	O43312-4;O43312;O43312-5;E7EWW5;H0YB53;O43312-2;H0YAZ8;H0YBL3;E5RJX3	Metastasis suppressor protein 1	MTSS1
O43315	Aquaporin-9	AQP9	O43315;H0YK62	Aquaporin-9	AQP9
O43318-2	Mitogen-activated protein kinase kinase kinase 7	MAP3K7	O43318-2;O43318;O43318-4;O43318-3;Q9UG54	Mitogen-activated protein kinase kinase kinase 7	MAP3K7;DKFZp586F0420
O43324	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	O43324;D6RBD7;C9J1V9;O43324-2;H0YAL7;D6RCQ0;H0YAH9	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1;EEF1E1-BLOC1S5
O43325	LYR motif-containing protein 1	LYRM1	O43325;H3BNK2	LYR motif-containing protein 1	LYRM1
O43347	RNA-binding protein Musashi homolog 1	MSI1	O43347;H0YHB7	RNA-binding protein Musashi homolog 1	MSI1
O43353-2	Receptor-interacting serine/threonine-protein kinase 2	RIPK2	O43353-2;O43353	Receptor-interacting serine/threonine-protein kinase 2	RIPK2
O43390	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	O43390;O43390-2;O43390-3;O43390-4;B4DT28;A0A286YEZ8	Heterogeneous nuclear ribonucleoprotein R	HNRNPR
O43395	U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3	O43395;O43395-3	U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3
O43396	Thioredoxin-like protein 1	TXNL1	O43396;K7ER96;K7EML9;K7EPB7;K7EME7;K7EKG2	Thioredoxin-like protein 1	TXNL1
O43399	Tumor protein D54	TPD52L2	O43399;O43399-5;O43399-7;A0A087WYR3;A0A087WZ51	Tumor protein D54	TPD52L2
O43399-2	Tumor protein D54	TPD52L2	O43399-2;O43399-4;O43399-3;O43399-6	Tumor protein D54	TPD52L2
O43402	ER membrane protein complex subunit 8	EMC8	O43402;M0R1B0;O43402-2	ER membrane protein complex subunit 8	EMC8
O43414	ERI1 exoribonuclease 3	ERI3	O43414;H0Y4B0;O43414-3;O43414-2;A0A3B3ISV9;F6QUN3;F6UGJ8;A0A3B3IU35	ERI1 exoribonuclease 3	ERI3
O43427-2	Acidic fibroblast growth factor intracellular-binding protein	FIBP	O43427-2;O43427;E9PSD3;H0YCE7;E9PJW6	Acidic fibroblast growth factor intracellular-binding protein	FIBP
O43432-3	Eukaryotic translation initiation factor 4 gamma 3	EIF4G3	O43432-3;A0A0A0MSA7;A0A0U1RQK7;O43432;O43432-4;O43432-2;Q68DC6	Eukaryotic translation initiation factor 4 gamma 3	EIF4G3
O43447	Peptidyl-prolyl cis-trans isomerase H	PPIH	O43447;C9JQD4;H0YEL5;O43447-2;A6NM32	Peptidyl-prolyl cis-trans isomerase H;Peptidyl-prolyl cis-trans isomerase	PPIH
O43462	Membrane-bound transcription factor site-2 protease	MBTPS2	O43462	Membrane-bound transcription factor site-2 protease	MBTPS2
O43464	Serine protease HTRA2, mitochondrial	HTRA2	O43464;A0A0C4DG44;O43464-3;O43464-2;O43464-4	Serine protease HTRA2, mitochondrial	HTRA2
O43488	Aflatoxin B1 aldehyde reductase member 2	AKR7A2	O43488;H3BLU7;H7C5H7	Aflatoxin B1 aldehyde reductase member 2	AKR7A2
O43490-5	Prominin-1	PROM1	O43490-5;O43490-3;O43490-4;O43490-6;O43490-7;O43490-2;O43490	Prominin-1	PROM1
O43491	Band 4.1-like protein 2	EPB41L2	O43491;Q6R5J7;E9PMV8;Q6ZSX4;E9PPC9;E9PN54	Band 4.1-like protein 2	EPB41L2
O43493-2	Trans-Golgi network integral membrane protein 2	TGOLN2	O43493-2;O43493-5;O43493-3;O43493;O43493-4;O43493-6	Trans-Golgi network integral membrane protein 2	TGOLN2
O43504	Ragulator complex protein LAMTOR5	LAMTOR5	O43504;R4GMU8;E9PLX3;A0A0C4DGV4	Ragulator complex protein LAMTOR5	LAMTOR5
O43505	Beta-1,4-glucuronyltransferase 1	B4GAT1	O43505	Beta-1,4-glucuronyltransferase 1	B4GAT1
O43516	WAS/WASL-interacting protein family member 1	WIPF1	O43516;O43516-3;O43516-2;E9PB87;O43516-4;C9JTB9;B8ZZ90;C9JB04	WAS/WASL-interacting protein family member 1	WIPF1
O43520	Phospholipid-transporting ATPase IC	ATP8B1	O43520;A0A2R8Y5C5;A0A3B3IRQ1	Phospholipid-transporting ATPase IC	ATP8B1
O43566	Regulator of G-protein signaling 14	RGS14	O43566;H0Y8W3;O43566-5;O43566-4;O43566-6	Regulator of G-protein signaling 14	RGS14
O43567	E3 ubiquitin-protein ligase RNF13	RNF13	O43567;C9J8T4;C9JYN7;C9JRV0;F8WDJ5;C9J7B4;C9J383;C9IY58;C9JCY0;O43567-2;C9JU37;C9JYY4	E3 ubiquitin-protein ligase RNF13	RNF13
O43581	Synaptotagmin-7	SYT7	O43581;O43581-6;O43581-2;O43581-5;O43581-4;O43581-3	Synaptotagmin-7	SYT7
O43583	Density-regulated protein	DENR	O43583;F8VVL1	Density-regulated protein	DENR
O43592	Exportin-T	XPOT	O43592;F8WDU6;F5GYW6;F5GZM3	Exportin-T	XPOT
O43615	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44	O43615;M0QXU7;M0R301;M0QXM9;M0R124	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44
O43617	Trafficking protein particle complex subunit 3	TRAPPC3	O43617;A0A087WWM0;O43617-2;A0A087WYS5;A6NKE1	Trafficking protein particle complex subunit 3	TRAPPC3
O43633	Charged multivesicular body protein 2a	CHMP2A	O43633;M0R1T5;M0R1L7;M0QXX8	Charged multivesicular body protein 2a	CHMP2A
O43639	Cytoplasmic protein NCK2	NCK2	O43639;E7EPF5;E7ERP6;E9PEE2	Cytoplasmic protein NCK2	NCK2
O43660-2	Pleiotropic regulator 1	PLRG1	O43660-2;O43660;H0YA24;D6RA26;B7Z982;H0YAA2	Pleiotropic regulator 1	PLRG1
O43665	Regulator of G-protein signaling 10	RGS10	O43665;O43665-2;O43665-1	Regulator of G-protein signaling 10	RGS10
O43676	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	NDUFB3	O43676;C9JKQ2	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	NDUFB3
O43677	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial	NDUFC1	O43677	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial	NDUFC1
O43678	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	NDUFA2	O43678;O43678-2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	NDUFA2
O43687	A-kinase anchor protein 7 isoforms alpha and beta	AKAP7	O43687;J3KN37;O43687-2	A-kinase anchor protein 7 isoforms alpha and beta	AKAP7
O43704	Sulfotransferase family cytosolic 1B member 1	SULT1B1	O43704;D6RD70;D6RIA8	Sulfotransferase family cytosolic 1B member 1;Sulfotransferase	SULT1B1
O43707	Alpha-actinin-4	ACTN4	O43707;O43707-2;F5GXS2;O43707-3;H7C144;K7EP19;D6RH00	Alpha-actinin-4	ACTN4
O43708	Maleylacetoacetate isomerase	GSTZ1	O43708;O43708-3	Maleylacetoacetate isomerase	GSTZ1
